Booking_Status,Vehicle_Type,Booking_Value,day_of_week,hour
Canceled by Customer,eBike,401,Monday,17
Success,Prime Plus,912,Monday,20
Canceled by Driver,Prime Sedan,443,Saturday,7
Success,eBike,152,Wednesday,5
Success,Mini,963,Sunday,6
Success,Prime SUV,335,Friday,21
Success,Prime Plus,145,Tuesday,17
Success,Mini,205,Monday,20
Canceled by Driver,Bike,119,Sunday,11
Success,eBike,254,Thursday,6
Success,Prime SUV,309,Tuesday,15
Canceled by Driver,Bike,581,Thursday,21
Success,Prime Sedan,736,Friday,19
Canceled by Customer,Mini,283,Friday,10
Success,Mini,179,Saturday,4
Canceled by Driver,Auto,390,Monday,21
Canceled by Customer,Auto,2288,Wednesday,13
Canceled by Driver,Prime Sedan,553,Thursday,3
Success,Prime Sedan,229,Monday,23
Canceled by Driver,Prime Sedan,251,Sunday,6
Success,Mini,474,Wednesday,7
Canceled by Driver,Auto,216,Sunday,17
Success,Prime Plus,814,Friday,4
Success,Mini,940,Friday,23
Canceled by Driver,Prime Plus,125,Saturday,12
Success,Prime Sedan,401,Tuesday,11
Success,Prime Sedan,167,Tuesday,13
Success,Prime Sedan,537,Thursday,7
Driver Not Found,Auto,172,Wednesday,19
Driver Not Found,Prime SUV,779,Wednesday,7
Driver Not Found,Mini,792,Wednesday,2
Success,Auto,820,Thursday,18
Success,Auto,122,Friday,8
Driver Not Found,Prime Plus,372,Tuesday,6
Success,Mini,184,Wednesday,1
Success,Prime Plus,189,Wednesday,15
Canceled by Customer,Prime SUV,167,Sunday,22
Success,Mini,455,Friday,19
Success,Auto,516,Sunday,20
Success,Prime Plus,442,Tuesday,5
Driver Not Found,Prime Sedan,402,Friday,10
Canceled by Driver,Auto,427,Monday,16
Success,Bike,278,Tuesday,15
Success,Prime Sedan,657,Sunday,4
Canceled by Driver,Prime Sedan,2783,Sunday,4
Canceled by Driver,eBike,326,Sunday,8
Success,Prime Plus,2428,Thursday,18
Success,Prime Plus,412,Thursday,12
Driver Not Found,eBike,410,Thursday,1
Canceled by Customer,Bike,907,Monday,14
Success,eBike,274,Friday,5
Canceled by Driver,eBike,138,Sunday,9
Success,Prime Plus,204,Wednesday,9
Success,eBike,210,Monday,16
Success,Bike,445,Friday,4
Success,Mini,385,Thursday,1
Success,Bike,446,Sunday,19
Success,Prime Sedan,498,Wednesday,1
Success,Prime Plus,924,Monday,22
Success,eBike,534,Tuesday,12
Success,Prime Plus,292,Saturday,15
Success,Prime Sedan,425,Tuesday,17
Success,Bike,410,Friday,15
Success,Prime SUV,344,Friday,7
Canceled by Driver,Bike,133,Tuesday,18
Driver Not Found,Prime SUV,835,Saturday,6
Success,Mini,375,Tuesday,2
Success,Prime Sedan,445,Monday,0
Driver Not Found,Auto,174,Tuesday,11
Canceled by Driver,Prime SUV,362,Tuesday,3
Success,eBike,398,Wednesday,5
Success,Auto,1962,Thursday,14
Canceled by Customer,Prime Sedan,437,Wednesday,17
Driver Not Found,Prime SUV,338,Thursday,10
Canceled by Driver,Mini,304,Wednesday,10
Success,Auto,179,Wednesday,16
Success,Prime Sedan,341,Friday,10
Driver Not Found,Bike,1813,Wednesday,11
Success,Prime SUV,149,Sunday,14
Canceled by Driver,Bike,263,Monday,2
Success,Bike,278,Friday,1
Success,Prime Plus,971,Tuesday,23
Success,Prime Plus,384,Friday,11
Success,Bike,382,Wednesday,8
Success,Auto,711,Thursday,14
Success,Auto,722,Sunday,7
Success,Prime Sedan,172,Friday,5
Canceled by Driver,Mini,483,Tuesday,15
Driver Not Found,Prime Sedan,176,Wednesday,17
Canceled by Customer,eBike,496,Wednesday,18
Driver Not Found,Prime Plus,405,Sunday,23
Driver Not Found,Auto,395,Monday,15
Success,Prime SUV,290,Monday,19
Success,Prime SUV,341,Tuesday,23
Canceled by Customer,Prime Sedan,2002,Thursday,9
Success,Prime Sedan,399,Saturday,1
Success,Prime SUV,343,Saturday,16
Canceled by Driver,Mini,211,Tuesday,14
Canceled by Driver,eBike,494,Monday,12
Success,Mini,285,Friday,8
Driver Not Found,Bike,1402,Tuesday,21
Success,Auto,309,Monday,1
Success,eBike,293,Sunday,5
Success,Prime Plus,573,Saturday,6
Success,Prime Plus,195,Tuesday,7
Success,Prime Plus,399,Thursday,23
Canceled by Customer,Mini,241,Tuesday,22
Canceled by Customer,eBike,478,Monday,4
Canceled by Driver,Auto,308,Friday,15
Success,Prime Plus,593,Saturday,22
Success,Prime Plus,2287,Saturday,4
Driver Not Found,Auto,678,Monday,20
Canceled by Driver,eBike,321,Wednesday,14
Success,eBike,310,Sunday,2
Success,Auto,275,Thursday,17
Success,Prime Plus,209,Monday,23
Driver Not Found,Auto,490,Friday,17
Success,Prime Plus,204,Sunday,11
Success,Prime SUV,207,Thursday,6
Canceled by Driver,Prime SUV,229,Tuesday,8
Canceled by Customer,eBike,410,Thursday,14
Success,Bike,1126,Tuesday,6
Success,Bike,947,Tuesday,2
Success,Prime Sedan,300,Friday,18
Canceled by Driver,Auto,432,Wednesday,6
Success,Prime Plus,420,Friday,23
Canceled by Driver,Prime Sedan,145,Monday,8
Success,Prime Sedan,2175,Monday,0
Driver Not Found,Mini,478,Wednesday,8
Success,Bike,155,Friday,23
Success,eBike,445,Sunday,11
Success,Prime Plus,423,Tuesday,14
Canceled by Driver,Auto,221,Friday,19
Success,eBike,406,Monday,20
Canceled by Driver,Prime Sedan,409,Sunday,13
Success,eBike,213,Monday,0
Success,Auto,416,Monday,22
Success,Prime SUV,491,Sunday,17
Canceled by Customer,Auto,130,Saturday,21
Success,eBike,328,Friday,0
Success,eBike,206,Saturday,19
Success,Mini,2596,Tuesday,8
Driver Not Found,Mini,405,Monday,18
Success,Prime Plus,342,Saturday,15
Success,Prime Plus,409,Wednesday,4
Success,Prime Sedan,1112,Thursday,14
Success,Prime Sedan,290,Tuesday,13
Success,Bike,231,Saturday,8
Success,Auto,624,Monday,22
Success,Prime Plus,2165,Wednesday,3
Driver Not Found,Prime Sedan,796,Tuesday,3
Canceled by Customer,Auto,995,Sunday,19
Success,eBike,161,Tuesday,19
Success,Prime SUV,869,Wednesday,1
Canceled by Driver,Bike,357,Tuesday,20
Canceled by Driver,eBike,941,Monday,22
Canceled by Customer,Auto,580,Sunday,16
Driver Not Found,Prime Sedan,480,Wednesday,9
Success,Auto,680,Tuesday,23
Success,Prime SUV,788,Wednesday,19
Success,Prime Sedan,436,Thursday,5
Driver Not Found,Prime SUV,922,Tuesday,6
Success,Prime Plus,438,Saturday,7
Canceled by Driver,eBike,199,Monday,2
Success,Prime Plus,369,Wednesday,3
Driver Not Found,Prime Sedan,133,Wednesday,9
Success,Bike,440,Monday,21
Success,Prime Plus,981,Saturday,0
Success,Prime SUV,586,Monday,7
Success,Auto,468,Wednesday,7
Success,Mini,144,Friday,3
Success,Mini,344,Friday,11
Success,Bike,465,Tuesday,17
Driver Not Found,Prime Plus,232,Friday,22
Success,Auto,878,Saturday,1
Success,Prime Sedan,288,Friday,13
Success,eBike,945,Wednesday,9
Success,Auto,404,Friday,21
Success,Mini,434,Saturday,8
Success,eBike,517,Friday,11
Success,eBike,733,Thursday,23
Driver Not Found,Prime SUV,639,Tuesday,14
Success,Prime SUV,2104,Monday,10
Success,eBike,1085,Monday,5
Success,Auto,560,Friday,2
Success,Prime SUV,334,Wednesday,1
Success,Prime Plus,433,Thursday,9
Driver Not Found,Auto,433,Thursday,21
Success,Prime SUV,615,Wednesday,22
Success,Mini,426,Friday,11
Success,Auto,171,Monday,0
Canceled by Driver,Auto,1588,Saturday,5
Driver Not Found,Prime Plus,213,Friday,16
Canceled by Driver,Bike,170,Wednesday,0
Success,eBike,232,Monday,9
Success,Bike,186,Saturday,13
Canceled by Driver,Mini,392,Wednesday,0
Canceled by Customer,Prime Plus,291,Friday,15
Success,Mini,1865,Wednesday,11
Success,Prime Plus,158,Tuesday,11
Canceled by Driver,Prime SUV,2764,Wednesday,22
Success,Prime Sedan,430,Thursday,9
Success,Auto,353,Sunday,5
Canceled by Driver,Prime Plus,101,Sunday,13
Canceled by Driver,eBike,147,Wednesday,21
Canceled by Driver,Bike,188,Wednesday,6
Canceled by Driver,Bike,164,Thursday,0
Success,Auto,478,Friday,17
Success,Prime Plus,183,Saturday,20
Success,Bike,219,Friday,13
Driver Not Found,Auto,183,Friday,17
Success,Mini,253,Tuesday,14
Success,Auto,250,Sunday,18
Driver Not Found,Prime Sedan,498,Wednesday,19
Success,Prime Plus,219,Sunday,1
Success,eBike,769,Wednesday,12
Canceled by Driver,Auto,400,Monday,10
Driver Not Found,Bike,605,Thursday,1
Success,Prime SUV,330,Saturday,0
Success,Auto,756,Wednesday,7
Success,Prime Plus,275,Tuesday,5
Canceled by Driver,Prime Plus,233,Monday,16
Success,Prime SUV,479,Saturday,13
Driver Not Found,Auto,279,Saturday,9
Success,Auto,131,Friday,5
Success,Auto,168,Sunday,21
Success,Prime Sedan,487,Wednesday,8
Canceled by Customer,Mini,291,Sunday,9
Driver Not Found,eBike,194,Monday,4
Success,Auto,808,Friday,19
Success,Prime Plus,351,Tuesday,0
Canceled by Driver,Mini,813,Wednesday,2
Success,eBike,137,Monday,8
Success,Prime Plus,403,Sunday,13
Canceled by Driver,Prime SUV,147,Tuesday,18
Success,Prime Sedan,220,Saturday,0
Success,Bike,223,Wednesday,10
Success,eBike,260,Tuesday,0
Success,Prime SUV,909,Tuesday,14
Canceled by Driver,Auto,173,Tuesday,2
Success,Prime SUV,696,Sunday,16
Success,Mini,140,Wednesday,5
Success,Auto,691,Tuesday,4
Success,Prime SUV,147,Tuesday,18
Success,eBike,249,Wednesday,12
Success,Auto,361,Saturday,22
Success,Prime Plus,183,Saturday,22
Canceled by Customer,Bike,910,Friday,7
Canceled by Driver,Prime SUV,414,Tuesday,8
Success,Prime Plus,202,Saturday,1
Driver Not Found,Bike,436,Saturday,10
Success,Prime SUV,209,Wednesday,1
Canceled by Customer,eBike,1138,Friday,7
Canceled by Customer,Prime SUV,443,Monday,9
Canceled by Customer,Mini,857,Monday,13
Success,Bike,540,Saturday,19
Canceled by Customer,Auto,347,Friday,17
Canceled by Customer,Prime Plus,267,Tuesday,16
Success,Prime Sedan,105,Saturday,8
Success,eBike,256,Wednesday,3
Success,Prime Plus,430,Friday,0
Success,Bike,292,Saturday,6
Success,Bike,583,Monday,23
Success,Auto,658,Saturday,17
Driver Not Found,Auto,671,Monday,17
Driver Not Found,Bike,466,Tuesday,15
Canceled by Driver,Prime Sedan,559,Monday,9
Success,Auto,410,Thursday,10
Success,Auto,107,Wednesday,7
Success,Prime Sedan,495,Thursday,10
Success,Prime SUV,640,Saturday,7
Canceled by Driver,Prime Sedan,318,Friday,20
Success,Prime Sedan,353,Thursday,23
Canceled by Driver,Prime SUV,1410,Monday,0
Canceled by Driver,Prime Sedan,280,Monday,2
Success,eBike,492,Friday,7
Canceled by Driver,Prime Plus,591,Wednesday,20
Success,Prime Plus,441,Sunday,22
Success,Prime Plus,105,Wednesday,2
Success,Prime SUV,827,Friday,21
Success,Prime Plus,950,Tuesday,17
Success,Prime Plus,278,Friday,16
Success,Auto,490,Friday,20
Success,eBike,295,Tuesday,8
Canceled by Driver,Prime Plus,293,Wednesday,10
Canceled by Driver,Bike,379,Thursday,13
Success,eBike,255,Saturday,4
Driver Not Found,Bike,2399,Tuesday,9
Canceled by Driver,Prime Sedan,673,Friday,20
Success,Bike,617,Friday,13
Canceled by Driver,Auto,245,Monday,12
Canceled by Customer,Prime Plus,390,Saturday,18
Success,Prime Plus,2742,Tuesday,2
Success,Prime Sedan,459,Tuesday,17
Success,Bike,417,Wednesday,1
Success,Prime Plus,733,Sunday,12
Success,Prime Plus,485,Wednesday,6
Success,eBike,171,Saturday,12
Success,Prime Sedan,122,Wednesday,21
Success,eBike,489,Thursday,5
Driver Not Found,Bike,357,Saturday,6
Success,eBike,313,Sunday,3
Success,Prime SUV,484,Tuesday,14
Success,eBike,432,Wednesday,4
Success,eBike,784,Thursday,9
Canceled by Driver,Prime Plus,196,Wednesday,13
Canceled by Driver,Prime Sedan,395,Sunday,3
Success,Prime Sedan,207,Wednesday,12
Success,Auto,1997,Friday,23
Success,Prime SUV,347,Monday,4
Canceled by Driver,Prime Plus,491,Monday,23
Success,Auto,701,Tuesday,22
Canceled by Driver,eBike,469,Tuesday,7
Canceled by Driver,eBike,388,Friday,10
Success,Bike,438,Tuesday,23
Canceled by Driver,Prime Sedan,334,Wednesday,16
Driver Not Found,Prime SUV,443,Saturday,15
Canceled by Driver,Bike,1059,Thursday,20
Success,Auto,537,Wednesday,23
Success,Bike,364,Sunday,16
Success,Prime Sedan,693,Friday,15
Driver Not Found,Prime SUV,187,Wednesday,2
Success,Bike,749,Tuesday,10
Canceled by Customer,eBike,376,Thursday,10
Success,eBike,472,Thursday,16
Canceled by Driver,eBike,690,Wednesday,7
Canceled by Customer,eBike,818,Monday,9
Success,Bike,469,Monday,5
Canceled by Driver,eBike,331,Monday,9
Canceled by Driver,eBike,878,Tuesday,14
Success,Auto,474,Tuesday,3
Success,Auto,131,Monday,22
Success,Prime Sedan,257,Tuesday,12
Success,eBike,126,Thursday,16
Canceled by Driver,Mini,470,Wednesday,11
Success,eBike,443,Thursday,0
Success,eBike,279,Wednesday,8
Success,Prime Sedan,319,Sunday,20
Success,Bike,946,Friday,7
Canceled by Driver,Bike,105,Friday,7
Success,Prime SUV,288,Thursday,19
Success,Mini,258,Wednesday,18
Success,eBike,818,Monday,4
Canceled by Driver,Auto,1085,Tuesday,1
Canceled by Customer,Prime Plus,661,Saturday,4
Success,eBike,2594,Sunday,7
Success,Auto,213,Monday,18
Canceled by Driver,Bike,765,Sunday,13
Canceled by Driver,Prime Plus,893,Saturday,11
Success,Auto,360,Saturday,7
Success,Auto,183,Wednesday,4
Success,Prime SUV,318,Saturday,20
Success,Prime Plus,305,Wednesday,6
Success,Prime Sedan,319,Sunday,8
Success,eBike,426,Sunday,18
Success,Auto,886,Friday,0
Success,Prime Sedan,418,Thursday,22
Success,Prime Plus,272,Sunday,4
Success,Prime SUV,2299,Wednesday,19
Success,eBike,633,Wednesday,6
Success,Prime Plus,440,Wednesday,10
Canceled by Customer,Bike,264,Saturday,23
Success,Prime Plus,489,Thursday,0
Success,Bike,228,Tuesday,11
Success,Auto,315,Friday,13
Success,Prime Sedan,344,Friday,21
Success,Auto,987,Monday,23
Success,eBike,2543,Monday,12
Success,Prime SUV,1094,Monday,0
Success,Mini,304,Wednesday,8
Success,Prime SUV,541,Saturday,11
Success,eBike,116,Thursday,10
Success,Mini,293,Tuesday,16
Success,Prime Sedan,157,Sunday,19
Success,Bike,147,Monday,13
Success,eBike,302,Sunday,14
Success,Prime SUV,136,Sunday,14
Success,Mini,476,Tuesday,11
Success,eBike,217,Tuesday,12
Driver Not Found,Prime Plus,300,Friday,4
Canceled by Driver,Prime Plus,749,Tuesday,22
Success,Prime Sedan,1277,Tuesday,5
Canceled by Driver,eBike,447,Friday,16
Success,Mini,1685,Sunday,21
Canceled by Customer,Prime SUV,827,Saturday,18
Driver Not Found,Prime Plus,149,Saturday,12
Success,Auto,125,Thursday,17
Success,Auto,220,Friday,15
Canceled by Driver,Auto,253,Sunday,0
Canceled by Driver,Auto,652,Saturday,17
Canceled by Customer,Prime Sedan,213,Tuesday,8
Success,Prime Sedan,617,Wednesday,21
Success,Prime Plus,240,Wednesday,1
Success,Auto,123,Saturday,12
Canceled by Customer,eBike,752,Friday,13
Driver Not Found,Prime Plus,948,Monday,5
Success,Bike,182,Tuesday,16
Success,Mini,324,Monday,1
Success,Prime Plus,481,Monday,11
Canceled by Driver,Prime Plus,452,Wednesday,4
Success,Prime Sedan,281,Friday,1
Success,Auto,380,Wednesday,11
Success,Auto,115,Saturday,23
Success,Prime Plus,331,Saturday,4
Canceled by Driver,Prime Plus,569,Wednesday,11
Success,Prime Sedan,910,Saturday,1
Success,Bike,694,Thursday,7
Success,Prime Sedan,313,Sunday,3
Driver Not Found,Auto,297,Tuesday,22
Canceled by Customer,Bike,104,Wednesday,0
Success,Auto,708,Sunday,9
Success,Mini,454,Friday,4
Success,eBike,160,Saturday,18
Canceled by Customer,Prime Sedan,478,Thursday,19
Canceled by Customer,Prime SUV,102,Sunday,6
Success,Prime Sedan,392,Tuesday,10
Success,Mini,322,Saturday,17
Success,Prime Sedan,934,Saturday,2
Success,Prime Sedan,355,Tuesday,10
Driver Not Found,Bike,454,Friday,8
Success,eBike,358,Sunday,14
Canceled by Customer,Prime Plus,268,Monday,18
Success,eBike,248,Wednesday,19
Success,Prime SUV,223,Tuesday,23
Success,Prime Sedan,679,Sunday,18
Canceled by Customer,eBike,404,Monday,21
Canceled by Driver,Prime Plus,463,Wednesday,10
Canceled by Customer,Mini,406,Thursday,17
Success,Prime SUV,638,Sunday,0
Success,Prime Sedan,296,Friday,17
Driver Not Found,Bike,607,Wednesday,12
Driver Not Found,Prime SUV,417,Thursday,0
Canceled by Driver,Prime Plus,190,Sunday,19
Success,Prime Sedan,305,Wednesday,5
Driver Not Found,Prime Sedan,1464,Tuesday,18
Success,Prime Sedan,780,Thursday,8
Success,Auto,275,Sunday,16
Success,Prime Plus,322,Sunday,21
Canceled by Driver,Mini,290,Friday,10
Success,Mini,195,Friday,13
Success,Prime Sedan,330,Saturday,9
Canceled by Customer,Bike,446,Friday,4
Success,Bike,291,Tuesday,18
Canceled by Customer,Prime Plus,294,Wednesday,9
Driver Not Found,Mini,2863,Sunday,10
Success,Bike,426,Thursday,12
Success,Prime Plus,161,Tuesday,21
Canceled by Driver,Bike,144,Tuesday,9
Canceled by Driver,Prime Plus,420,Tuesday,19
Success,Bike,483,Tuesday,15
Canceled by Driver,Bike,359,Tuesday,11
Canceled by Driver,Prime Sedan,108,Friday,19
Canceled by Driver,eBike,558,Saturday,3
Canceled by Driver,Prime Sedan,402,Wednesday,22
Success,Prime SUV,228,Tuesday,18
Success,Prime SUV,1128,Friday,23
Success,Auto,464,Saturday,18
Canceled by Driver,Prime Plus,715,Wednesday,13
Canceled by Driver,Auto,408,Monday,10
Success,Bike,637,Monday,11
Canceled by Customer,Auto,452,Saturday,17
Driver Not Found,Bike,742,Wednesday,23
Driver Not Found,Auto,2030,Sunday,4
Success,Bike,757,Wednesday,22
Success,Mini,272,Thursday,19
Success,Mini,471,Saturday,18
Canceled by Customer,Bike,915,Saturday,16
Success,Mini,203,Wednesday,23
Canceled by Driver,Auto,309,Saturday,7
Canceled by Driver,Mini,426,Friday,21
Driver Not Found,Mini,2956,Friday,1
Canceled by Customer,Prime SUV,314,Thursday,1
Canceled by Driver,Prime Plus,354,Thursday,17
Success,Prime Sedan,428,Thursday,18
Success,Prime Plus,375,Wednesday,6
Canceled by Customer,Mini,161,Thursday,4
Canceled by Driver,Bike,2354,Thursday,6
Success,Prime Plus,790,Tuesday,9
Success,Prime Sedan,817,Friday,19
Success,Prime Sedan,422,Saturday,16
Canceled by Customer,Bike,110,Saturday,23
Success,Bike,133,Thursday,18
Success,Bike,241,Friday,4
Canceled by Driver,Prime Plus,199,Monday,6
Success,Bike,372,Friday,22
Success,Prime Plus,584,Wednesday,8
Success,Mini,218,Sunday,18
Driver Not Found,Prime Sedan,298,Tuesday,11
Success,Prime SUV,330,Sunday,20
Success,Mini,108,Wednesday,1
Canceled by Customer,eBike,204,Tuesday,5
Canceled by Customer,Bike,196,Tuesday,2
Success,Bike,460,Thursday,14
Success,Prime Plus,341,Wednesday,10
Success,Prime SUV,345,Sunday,21
Success,Auto,415,Monday,18
Canceled by Driver,Prime Plus,124,Monday,20
Success,Prime Plus,199,Saturday,12
Canceled by Driver,Prime Sedan,271,Monday,9
Success,Prime Sedan,2798,Monday,17
Success,Prime Sedan,284,Friday,1
Canceled by Driver,Mini,248,Saturday,23
Canceled by Customer,eBike,215,Thursday,18
Success,Prime Sedan,810,Saturday,1
Success,Prime SUV,208,Sunday,4
Canceled by Driver,Prime SUV,832,Monday,16
Canceled by Customer,Mini,442,Wednesday,18
Success,eBike,1415,Saturday,22
Success,Prime SUV,427,Sunday,10
Canceled by Customer,Prime SUV,341,Friday,3
Success,Bike,361,Friday,19
Success,Bike,805,Wednesday,13
Driver Not Found,Mini,468,Sunday,2
Canceled by Driver,Prime Plus,302,Tuesday,4
Canceled by Customer,Auto,304,Wednesday,12
Success,Auto,212,Monday,4
Canceled by Driver,Auto,233,Thursday,6
Success,Auto,963,Saturday,0
Canceled by Driver,Bike,261,Saturday,20
Canceled by Customer,Auto,1752,Sunday,17
Success,Bike,920,Sunday,3
Success,eBike,362,Friday,11
Canceled by Customer,Prime Sedan,324,Monday,21
Driver Not Found,Bike,104,Wednesday,2
Driver Not Found,Mini,167,Tuesday,4
Success,Prime Sedan,326,Tuesday,6
Success,Prime Plus,817,Friday,17
Canceled by Driver,Auto,388,Saturday,20
Success,Prime SUV,288,Monday,19
Success,Mini,466,Thursday,3
Success,Bike,493,Sunday,18
Success,Bike,261,Tuesday,7
Success,Prime Sedan,143,Monday,3
Success,Prime SUV,104,Tuesday,4
Success,Prime SUV,324,Saturday,2
Canceled by Driver,Mini,452,Friday,11
Success,Prime Plus,2923,Thursday,13
Success,Prime Plus,667,Tuesday,2
Success,Prime Plus,177,Monday,6
Canceled by Driver,Auto,587,Friday,2
Success,Bike,147,Friday,14
Success,Prime Sedan,1724,Sunday,4
Success,Mini,383,Monday,11
Canceled by Driver,Mini,225,Tuesday,18
Success,Prime SUV,885,Sunday,7
Canceled by Driver,Bike,215,Monday,14
Canceled by Customer,eBike,748,Thursday,14
Success,Bike,375,Thursday,3
Success,Prime Plus,109,Sunday,23
Success,Prime Plus,214,Tuesday,12
Canceled by Customer,Prime Plus,259,Monday,23
Canceled by Driver,Prime Plus,789,Thursday,20
Success,Auto,162,Friday,14
Success,Prime Plus,107,Tuesday,16
Success,Bike,279,Saturday,8
Canceled by Driver,Mini,341,Monday,14
Canceled by Driver,Bike,457,Sunday,19
Canceled by Customer,Mini,146,Friday,7
Canceled by Driver,Bike,492,Sunday,20
Success,Mini,398,Monday,2
Success,Prime Plus,822,Monday,9
Success,Prime Plus,382,Thursday,1
Success,Prime Plus,508,Wednesday,4
Canceled by Driver,Prime SUV,170,Saturday,13
Driver Not Found,Prime Sedan,461,Sunday,15
Success,Auto,431,Thursday,1
Canceled by Driver,Prime Plus,327,Thursday,7
Success,Prime SUV,271,Sunday,19
Success,Prime Sedan,407,Thursday,12
Canceled by Driver,Bike,455,Tuesday,19
Canceled by Driver,Mini,298,Monday,6
Canceled by Customer,Bike,490,Wednesday,8
Canceled by Driver,Prime Plus,773,Wednesday,16
Success,Prime Sedan,346,Saturday,2
Success,Mini,496,Tuesday,18
Success,Prime Plus,108,Tuesday,11
Success,Auto,166,Thursday,23
Driver Not Found,Prime Plus,1722,Sunday,7
Success,Auto,370,Friday,7
Canceled by Driver,Mini,902,Saturday,9
Success,Auto,1047,Thursday,5
Success,Mini,218,Monday,11
Success,eBike,184,Sunday,17
Success,Prime Sedan,145,Saturday,2
Success,Auto,888,Friday,1
Success,Bike,385,Tuesday,9
Success,Bike,279,Monday,23
Canceled by Customer,Prime SUV,439,Monday,22
Success,Bike,401,Sunday,5
Success,eBike,110,Wednesday,21
Success,Mini,590,Wednesday,12
Success,Auto,290,Tuesday,4
Canceled by Driver,Auto,329,Friday,23
Driver Not Found,Bike,1226,Wednesday,14
Success,Bike,483,Wednesday,4
Success,Bike,215,Friday,19
Success,Mini,890,Thursday,12
Success,Prime SUV,353,Thursday,19
Canceled by Driver,Prime Sedan,306,Tuesday,13
Canceled by Driver,eBike,178,Thursday,4
Canceled by Driver,Auto,509,Monday,16
Success,Mini,226,Wednesday,2
Success,Mini,169,Sunday,14
Success,Prime Plus,234,Monday,15
Driver Not Found,Auto,282,Tuesday,4
Success,Prime SUV,416,Sunday,18
Success,Prime SUV,438,Friday,16
Driver Not Found,Bike,149,Wednesday,17
Success,Prime SUV,487,Tuesday,14
Success,Prime Plus,213,Thursday,23
Driver Not Found,eBike,1909,Thursday,17
Success,Prime SUV,814,Wednesday,9
Canceled by Driver,Mini,163,Tuesday,11
Success,eBike,434,Thursday,2
Canceled by Customer,Prime Sedan,468,Tuesday,4
Driver Not Found,Bike,505,Sunday,17
Success,Auto,108,Monday,23
Success,Prime Sedan,118,Monday,16
Success,Bike,208,Thursday,14
Success,eBike,804,Sunday,23
Canceled by Customer,eBike,189,Friday,1
Success,eBike,175,Friday,13
Success,Prime SUV,986,Wednesday,0
Canceled by Customer,Prime Sedan,479,Saturday,15
Success,Bike,365,Monday,23
Success,Mini,287,Friday,19
Canceled by Customer,Mini,448,Wednesday,21
Success,Prime SUV,307,Tuesday,7
Success,Prime Plus,916,Thursday,2
Canceled by Driver,Bike,311,Wednesday,6
Success,Prime Sedan,287,Monday,11
Success,Bike,587,Monday,17
Canceled by Customer,Prime SUV,107,Wednesday,12
Success,Prime Plus,542,Tuesday,0
Driver Not Found,Prime Sedan,715,Thursday,8
Success,Mini,492,Tuesday,20
Success,Prime SUV,1676,Tuesday,7
Success,Prime SUV,364,Saturday,22
Success,Prime SUV,593,Friday,9
Canceled by Driver,Prime SUV,245,Wednesday,17
Driver Not Found,Auto,826,Monday,2
Success,Prime Sedan,433,Thursday,3
Success,Prime Sedan,1824,Wednesday,1
Success,Prime Plus,443,Wednesday,19
Success,eBike,472,Monday,17
Success,Auto,341,Sunday,8
Success,eBike,110,Monday,19
Success,Mini,843,Tuesday,11
Success,Prime SUV,420,Wednesday,12
Success,eBike,813,Thursday,4
Driver Not Found,Prime Plus,809,Monday,23
Success,Prime Sedan,183,Wednesday,20
Success,Prime SUV,424,Friday,3
Driver Not Found,Mini,115,Wednesday,4
Canceled by Driver,Mini,181,Monday,21
Canceled by Customer,eBike,402,Thursday,23
Success,Prime SUV,140,Saturday,18
Canceled by Driver,Prime Plus,184,Saturday,1
Driver Not Found,eBike,2957,Saturday,3
Success,eBike,129,Monday,7
Canceled by Driver,Bike,153,Wednesday,5
Canceled by Driver,Prime SUV,129,Monday,20
Canceled by Customer,Prime SUV,255,Friday,7
Success,Prime Plus,809,Monday,5
Driver Not Found,Mini,247,Monday,4
Success,Prime Plus,492,Monday,16
Success,Prime Sedan,286,Tuesday,3
Canceled by Driver,Prime SUV,122,Thursday,9
Success,Bike,147,Tuesday,17
Canceled by Driver,Bike,366,Wednesday,8
Success,Prime Sedan,181,Friday,7
Canceled by Driver,Prime Plus,231,Monday,4
Success,Prime Plus,416,Friday,6
Driver Not Found,eBike,174,Thursday,20
Success,Prime SUV,321,Friday,11
Success,Prime SUV,688,Saturday,14
Canceled by Driver,Mini,353,Wednesday,11
Success,eBike,352,Saturday,14
Canceled by Driver,Prime Sedan,745,Wednesday,4
Driver Not Found,Prime Plus,343,Wednesday,4
Canceled by Driver,Prime Sedan,218,Sunday,19
Success,Prime Sedan,281,Wednesday,14
Success,eBike,122,Sunday,23
Success,Prime Plus,333,Monday,14
Canceled by Driver,Prime Plus,947,Tuesday,19
Driver Not Found,Prime Plus,646,Sunday,16
Driver Not Found,Auto,223,Thursday,19
Canceled by Driver,Prime Sedan,443,Wednesday,23
Success,Mini,482,Monday,18
Canceled by Driver,Prime SUV,324,Thursday,7
Success,Prime Sedan,187,Thursday,12
Canceled by Driver,Prime SUV,919,Monday,10
Success,eBike,245,Monday,5
Success,Auto,271,Sunday,4
Success,eBike,349,Friday,9
Success,Bike,604,Tuesday,10
Canceled by Customer,Prime Plus,699,Wednesday,5
Canceled by Customer,eBike,186,Saturday,20
Success,Prime SUV,153,Sunday,18
Success,Bike,861,Wednesday,16
Success,Prime Sedan,227,Tuesday,14
Success,Prime SUV,266,Monday,16
Success,Bike,297,Sunday,4
Driver Not Found,Prime Plus,827,Thursday,2
Canceled by Driver,Mini,477,Wednesday,2
