Vehicle Type,Booking Value,Ride Distance,Avg VTAT,Avg CTAT,Driver Ratings,Customer Rating,Payment Method
eBike,1025.0,25.33,9.8,37.0,3.9,4.4,UPI
Go Sedan,586.0,27.02,6.4,24.0,4.3,4.6,Cash
Auto,169.0,41.35,9.0,34.0,3.9,3.4,UPI
Go Mini,109.0,17.1,4.3,15.9,4.4,4.6,UPI
Bike,377.0,43.29,5.2,42.9,4.8,4.8,UPI
eBike,762.0,6.22,3.5,28.4,4.1,4.5,Cash
Premier Sedan,372.0,4.37,6.6,43.5,4.2,4.1,Cash
Premier Sedan,95.0,23.55,14.4,25.4,4.9,4.5,UPI
Go Mini,166.0,5.38,8.3,36.1,4.2,4.1,UPI
Go Mini,316.0,30.24,10.6,29.1,4.0,4.2,UPI
Bike,81.0,38.54,5.3,44.3,4.6,4.8,UPI
Bike,73.0,37.59,5.5,20.4,3.8,4.1,Debit Card
Go Mini,308.0,11.47,8.3,23.3,4.1,4.9,UPI
Premier Sedan,284.0,33.71,5.8,34.4,3.9,4.3,Cash
Premier Sedan,277.0,7.02,8.2,23.3,4.1,3.9,Cash
Bike,341.0,8.02,4.8,39.3,4.2,4.2,UPI
Go Sedan,499.0,30.07,12.4,43.9,4.2,3.8,UPI
Auto,191.0,2.4,5.6,29.7,4.1,4.2,UPI
Go Sedan,89.0,47.95,4.3,37.2,4.2,4.2,UPI
Bike,235.0,4.18,8.9,22.0,3.9,4.4,UPI
Go Mini,637.0,46.16,11.7,32.8,3.7,4.8,UPI
Auto,328.0,34.38,3.8,26.0,4.3,3.9,Credit Card
Auto,273.0,47.15,7.7,33.7,4.3,4.1,UPI
Go Mini,123.0,6.52,10.0,41.6,4.3,4.5,UPI
Go Mini,590.0,33.81,13.6,32.7,4.7,4.0,UPI
Premier Sedan,65.0,14.07,14.9,31.6,3.8,4.8,Cash
Go Mini,486.0,9.17,5.5,28.1,4.6,4.1,Cash
Bike,234.0,5.78,8.1,43.9,3.7,4.3,Debit Card
Go Mini,143.0,11.03,4.6,17.5,3.1,5.0,UPI
Go Mini,952.0,23.84,2.3,24.8,4.3,4.2,Uber Wallet
Premier Sedan,376.0,28.18,6.4,27.8,4.9,4.9,Debit Card
Auto,386.0,37.8,2.2,16.5,4.6,5.0,Cash
Auto,312.0,21.24,15.0,18.2,4.0,4.6,Uber Wallet
Go Mini,123.0,16.84,2.1,27.2,4.6,4.3,Cash
Premier Sedan,477.0,18.31,7.0,29.2,4.6,4.3,Cash
Go Mini,1082.0,23.05,11.1,36.8,4.2,3.7,UPI
Bike,133.0,33.86,9.4,30.9,4.8,3.9,UPI
Go Mini,887.0,39.81,12.0,35.1,4.2,4.9,Credit Card
Premier Sedan,195.0,29.19,6.5,39.0,3.6,4.7,UPI
Bike,180.0,48.86,7.9,24.9,4.3,4.8,UPI
Go Mini,498.0,39.68,14.8,35.0,3.6,4.2,UPI
Go Sedan,316.0,38.72,12.3,16.5,4.7,4.6,UPI
Uber XL,762.0,3.07,7.1,22.3,4.3,3.8,UPI
Bike,328.0,24.72,8.4,41.9,4.2,4.9,Debit Card
Go Mini,938.0,30.73,11.1,26.3,4.2,4.9,Cash
Auto,287.0,29.86,14.3,18.3,4.2,4.6,Cash
Auto,1398.0,39.35,12.0,25.4,4.3,4.3,Cash
Bike,967.0,33.95,6.5,39.6,5.0,4.3,UPI
eBike,396.0,27.27,7.6,40.4,4.4,4.2,Debit Card
Auto,197.0,33.29,5.5,15.9,4.9,3.8,Cash
Go Mini,1374.0,39.65,4.8,30.5,4.6,3.5,UPI
Auto,481.0,5.17,11.8,34.9,4.1,4.2,UPI
Go Mini,128.0,18.66,8.6,20.4,4.1,4.2,Cash
Auto,910.0,7.66,4.1,23.1,4.4,4.6,UPI
Go Mini,1124.0,10.22,14.2,30.8,4.3,4.3,Cash
Go Sedan,397.0,36.02,7.8,38.6,3.3,5.0,UPI
Uber XL,51.0,27.17,13.9,24.6,4.2,4.7,Credit Card
Go Sedan,1120.0,10.25,2.0,26.7,3.7,4.2,UPI
Bike,895.0,15.89,3.9,39.9,4.6,4.3,UPI
Auto,618.0,40.23,2.4,18.5,3.8,4.2,UPI
Go Sedan,886.0,36.51,13.2,26.2,4.0,4.1,Uber Wallet
Go Sedan,949.0,5.76,8.6,33.6,4.2,4.2,Uber Wallet
Go Mini,326.0,20.21,5.5,32.0,3.4,4.6,UPI
Auto,493.0,2.42,7.5,29.4,4.1,4.9,Uber Wallet
Go Mini,748.0,19.09,2.3,35.7,4.4,3.7,Cash
Bike,737.0,30.37,6.6,18.6,4.0,3.8,UPI
Go Sedan,178.0,45.11,5.0,18.2,4.6,3.1,UPI
Auto,1088.0,5.85,3.7,29.5,4.2,5.0,Credit Card
Go Sedan,1331.0,19.76,6.0,17.5,4.6,4.4,Credit Card
Auto,1548.0,24.51,7.1,39.5,4.1,4.7,Cash
Go Mini,1178.0,15.69,3.8,36.1,4.5,4.1,UPI
Bike,475.0,23.61,7.1,16.3,4.2,4.3,UPI
Premier Sedan,131.0,4.08,14.3,23.7,4.2,4.9,Credit Card
Go Sedan,120.0,36.92,8.9,27.2,4.2,4.6,Credit Card
Go Mini,392.0,28.38,5.1,32.9,4.6,4.9,UPI
Go Mini,963.0,21.36,5.0,31.0,3.1,4.5,UPI
Auto,471.0,10.57,2.6,22.6,4.8,4.7,Debit Card
Auto,175.0,38.82,7.6,22.2,3.2,4.6,UPI
eBike,228.0,28.15,6.1,34.4,4.7,5.0,Cash
Auto,578.0,27.85,10.2,17.2,4.3,4.7,UPI
Auto,440.0,45.76,13.6,44.1,4.2,4.9,Cash
Go Sedan,502.0,41.75,8.1,37.9,3.9,4.8,Cash
Go Sedan,617.0,27.09,12.2,23.9,4.3,4.1,UPI
Premier Sedan,382.0,40.02,4.7,39.7,5.0,4.1,Uber Wallet
Bike,158.0,29.41,4.9,16.2,4.3,4.5,UPI
Auto,193.0,16.61,7.1,43.0,4.2,4.1,UPI
Premier Sedan,278.0,31.92,4.0,33.1,4.1,4.3,UPI
Auto,694.0,47.17,12.6,29.9,4.6,4.4,Uber Wallet
Premier Sedan,553.0,49.12,2.4,25.9,4.4,4.9,Cash
Bike,223.0,14.81,7.5,33.3,4.1,4.3,Credit Card
Bike,447.0,46.6,14.4,44.7,4.2,4.7,UPI
Bike,85.0,26.65,3.0,43.0,4.6,4.1,Cash
Premier Sedan,741.0,43.2,9.0,23.9,3.9,4.2,Uber Wallet
Premier Sedan,454.0,18.78,3.5,19.4,3.9,3.7,Cash
Premier Sedan,659.0,27.18,7.7,33.6,4.6,4.6,UPI
Go Mini,456.0,35.31,9.7,42.4,3.9,4.5,Credit Card
Uber XL,518.0,5.16,4.7,30.4,3.4,3.8,Cash
Go Mini,292.0,45.41,9.0,15.0,5.0,4.8,UPI
Auto,760.0,26.22,9.8,15.0,4.4,5.0,UPI
Auto,482.0,28.88,5.2,41.9,4.1,4.8,Debit Card
Auto,77.0,39.23,7.2,23.7,3.9,4.5,Cash
Premier Sedan,314.0,36.97,3.1,27.0,4.5,4.3,Cash
Bike,838.0,47.51,4.3,26.7,3.7,4.7,Uber Wallet
Auto,905.0,32.62,4.5,26.7,4.3,4.7,Cash
Auto,2037.0,16.54,7.2,29.5,4.4,4.6,Uber Wallet
Auto,695.0,31.13,5.1,18.6,4.2,4.6,Credit Card
eBike,164.0,30.09,3.2,40.3,4.3,4.6,UPI
eBike,195.0,6.37,2.1,28.6,3.7,4.4,Credit Card
Auto,130.0,8.33,13.5,40.6,4.3,4.7,UPI
Auto,202.0,32.66,4.1,21.4,4.8,4.2,Cash
Go Sedan,264.0,37.16,4.4,15.7,3.7,4.7,Cash
Bike,774.0,3.11,7.9,27.5,3.6,4.2,UPI
Auto,127.0,15.86,14.8,17.1,4.9,4.2,UPI
Bike,694.0,3.51,12.9,25.1,4.6,3.4,UPI
Premier Sedan,413.0,30.16,8.4,37.1,3.1,4.3,UPI
Go Mini,150.0,18.4,13.1,32.5,3.9,4.9,UPI
Go Mini,943.0,12.62,7.3,35.2,3.9,4.6,Debit Card
Bike,789.0,45.55,7.3,18.8,4.6,4.3,UPI
Go Mini,157.0,14.81,3.1,22.1,3.2,4.9,UPI
Go Sedan,1163.0,44.14,8.9,19.1,4.2,3.3,Credit Card
Premier Sedan,244.0,33.95,11.2,29.7,4.2,4.1,UPI
Go Mini,87.0,18.08,14.7,18.0,4.3,3.2,Credit Card
Go Mini,800.0,30.47,14.3,42.9,4.0,4.9,Uber Wallet
Auto,124.0,3.9,10.9,25.8,4.4,4.3,UPI
Uber XL,268.0,38.28,5.2,19.8,3.7,4.6,Uber Wallet
Go Sedan,659.0,18.56,7.2,15.0,4.3,4.6,UPI
Go Mini,443.0,9.97,13.3,34.2,3.8,3.7,UPI
Bike,114.0,15.03,10.0,21.0,4.6,4.9,Cash
Premier Sedan,668.0,2.39,13.7,42.5,4.2,3.7,Cash
Auto,895.0,49.31,10.7,33.6,3.3,4.3,Cash
Auto,312.0,25.46,9.5,22.5,3.9,5.0,Debit Card
Go Mini,302.0,14.03,14.2,25.0,4.2,5.0,Debit Card
Go Mini,140.0,16.38,13.3,32.4,3.8,4.6,Uber Wallet
Go Mini,388.0,36.69,5.7,39.4,4.7,4.0,UPI
Bike,680.0,13.4,8.7,33.4,4.3,4.2,Cash
Uber XL,981.0,2.94,13.2,41.3,4.6,3.7,UPI
Premier Sedan,440.0,21.75,11.7,26.0,3.3,3.7,UPI
Auto,1225.0,7.11,10.3,36.9,4.4,4.5,UPI
Uber XL,63.0,47.7,13.3,23.6,4.3,4.9,Credit Card
Go Mini,179.0,35.33,12.4,44.1,4.9,4.2,UPI
Auto,956.0,15.28,6.6,36.4,3.1,4.3,UPI
Go Mini,628.0,48.94,10.4,29.9,4.6,4.3,Cash
Bike,861.0,8.15,3.4,32.2,3.9,4.9,Cash
Premier Sedan,2383.0,19.98,12.3,22.2,4.9,4.6,UPI
Go Mini,695.0,34.45,9.2,33.5,3.3,4.9,UPI
Auto,508.0,38.83,14.7,30.6,4.4,4.9,UPI
Auto,342.0,39.74,12.5,20.0,4.3,4.9,Cash
Premier Sedan,961.0,11.26,4.2,43.0,3.2,4.6,UPI
Auto,682.0,41.79,14.7,16.4,4.3,4.3,UPI
eBike,148.0,30.01,3.6,40.3,4.2,4.2,Uber Wallet
Go Mini,527.0,10.29,13.8,37.6,4.7,4.2,Debit Card
Auto,107.0,28.39,7.4,19.4,4.2,4.3,UPI
Premier Sedan,978.0,37.84,13.3,27.0,3.9,3.8,UPI
Bike,471.0,46.88,10.2,22.7,4.1,5.0,UPI
Bike,533.0,45.82,4.3,17.9,3.6,3.3,UPI
Auto,333.0,17.59,4.0,35.5,4.3,4.2,Cash
Premier Sedan,51.0,16.18,3.5,20.3,4.3,4.3,Debit Card
Go Sedan,601.0,4.3,6.0,37.3,4.0,4.2,Cash
Go Sedan,356.0,33.14,8.7,28.3,3.1,4.9,Credit Card
Auto,239.0,38.92,5.1,43.7,3.0,3.3,Uber Wallet
Go Mini,523.0,16.91,9.5,33.4,4.0,4.6,Cash
Go Sedan,920.0,4.87,7.0,38.4,3.7,4.1,Cash
Go Sedan,498.0,7.62,14.8,40.8,4.2,3.7,Uber Wallet
Auto,283.0,32.56,3.1,23.9,4.3,4.8,Debit Card
Auto,1496.0,26.06,10.7,44.5,3.4,4.4,Uber Wallet
Bike,206.0,21.98,6.6,24.6,4.9,4.2,Cash
eBike,196.0,29.18,4.6,16.5,4.6,4.7,Uber Wallet
Go Sedan,77.0,33.87,6.6,23.0,4.6,4.9,Uber Wallet
Auto,473.0,47.72,14.7,20.7,4.7,4.4,Credit Card
Premier Sedan,897.0,3.36,12.6,44.7,4.5,4.2,UPI
Go Mini,824.0,31.96,13.0,27.6,5.0,3.2,Credit Card
Auto,319.0,30.15,4.0,33.8,3.7,4.4,Uber Wallet
Premier Sedan,957.0,23.06,14.4,39.2,5.0,4.0,UPI
Auto,342.0,2.73,6.0,40.7,4.4,4.2,Credit Card
eBike,199.0,6.82,14.6,15.4,4.3,4.2,UPI
Bike,114.0,42.51,3.8,25.1,4.6,4.1,Cash
Premier Sedan,342.0,42.07,10.2,40.0,3.5,5.0,Credit Card
Premier Sedan,106.0,9.18,2.9,39.0,4.3,4.9,UPI
Bike,560.0,37.97,6.8,42.3,4.2,4.9,UPI
Go Sedan,230.0,31.89,7.0,40.5,3.8,5.0,UPI
Auto,558.0,43.48,10.4,39.6,4.4,4.4,UPI
eBike,101.0,42.94,2.1,28.3,4.1,3.7,UPI
Auto,1240.0,36.43,5.9,35.9,4.4,4.6,UPI
Auto,702.0,29.66,12.7,28.4,3.8,4.2,Cash
Premier Sedan,757.0,31.38,10.1,17.1,3.8,4.7,UPI
eBike,91.0,49.87,12.8,25.1,5.0,4.3,Cash
Auto,298.0,43.87,13.8,23.6,3.2,4.2,Debit Card
Uber XL,485.0,39.29,5.6,25.8,4.3,4.8,UPI
Auto,141.0,16.41,14.0,17.7,4.3,5.0,Cash
Go Sedan,81.0,18.5,7.1,21.9,4.5,4.9,Cash
Go Sedan,96.0,35.48,4.1,42.0,4.3,4.6,UPI
eBike,180.0,22.96,13.4,24.5,4.3,3.8,Debit Card
Go Sedan,693.0,8.06,3.9,25.1,4.6,4.2,UPI
Go Sedan,706.0,46.33,14.5,37.1,4.6,4.3,Cash
Auto,344.0,24.73,4.0,43.5,4.5,4.5,Credit Card
Premier Sedan,376.0,23.49,12.2,28.9,4.2,3.9,UPI
Bike,932.0,13.35,12.2,40.2,4.4,4.2,Cash
Go Sedan,1161.0,7.36,13.0,17.1,4.7,4.4,Cash
Go Sedan,253.0,4.02,7.8,36.1,4.6,5.0,UPI
Premier Sedan,61.0,28.42,8.8,40.5,4.6,4.9,Uber Wallet
Premier Sedan,368.0,24.57,11.6,16.8,4.5,4.9,Credit Card
Auto,733.0,24.12,4.3,28.6,4.3,4.9,Cash
Go Sedan,627.0,23.83,14.4,34.4,4.4,4.2,UPI
Premier Sedan,88.0,26.64,8.3,20.4,4.2,4.2,UPI
Go Sedan,479.0,42.7,2.3,36.4,4.7,4.3,Uber Wallet
Auto,871.0,29.75,10.8,30.7,4.5,4.5,UPI
Auto,222.0,37.74,13.5,34.7,5.0,4.8,Uber Wallet
Premier Sedan,302.0,34.12,7.5,16.2,4.7,3.3,UPI
Bike,277.0,42.5,2.3,23.5,3.8,4.9,UPI
Bike,874.0,25.78,8.6,18.0,4.4,4.9,UPI
Auto,385.0,38.67,3.2,31.9,3.9,4.7,UPI
Bike,358.0,30.02,9.3,28.1,4.4,5.0,Debit Card
Auto,370.0,5.11,7.9,31.5,4.2,5.0,Uber Wallet
Go Mini,373.0,23.18,8.2,37.6,4.5,4.3,Debit Card
Auto,595.0,44.38,8.4,39.7,4.4,4.9,Debit Card
Auto,954.0,9.31,7.1,26.1,4.1,4.7,UPI
eBike,1102.0,33.68,10.3,35.0,4.6,4.0,Debit Card
Premier Sedan,501.0,24.31,5.5,41.5,4.3,4.2,Uber Wallet
Auto,343.0,18.63,13.9,44.5,4.9,4.9,Uber Wallet
Auto,786.0,8.39,5.6,37.7,4.1,4.9,Credit Card
Bike,746.0,11.91,13.2,42.4,4.2,4.9,Cash
Premier Sedan,430.0,3.03,9.7,21.4,4.2,4.4,UPI
Premier Sedan,129.0,4.75,9.0,21.7,4.2,5.0,Cash
Go Sedan,459.0,21.01,11.0,39.2,3.1,4.9,Uber Wallet
Go Sedan,461.0,11.89,2.0,24.9,4.4,4.3,Debit Card
Bike,733.0,48.89,10.5,22.1,3.8,4.9,Credit Card
Bike,673.0,12.85,14.8,21.4,4.3,4.4,Debit Card
eBike,121.0,37.04,11.8,42.8,4.0,4.9,Uber Wallet
Go Sedan,560.0,3.88,3.9,30.1,4.3,4.9,Cash
Bike,361.0,41.61,13.4,22.3,4.3,4.3,Debit Card
Premier Sedan,513.0,30.78,3.8,35.7,4.5,4.1,UPI
Auto,71.0,10.89,13.8,18.9,4.5,5.0,UPI
Premier Sedan,493.0,25.67,4.6,42.9,3.8,4.3,Cash
Go Sedan,358.0,23.2,5.3,16.0,3.9,4.1,UPI
Go Sedan,438.0,49.57,4.0,36.4,4.1,4.4,Cash
Bike,128.0,36.9,14.7,31.5,4.3,4.9,Cash
Go Mini,407.0,4.19,12.5,15.1,4.6,4.6,Credit Card
Bike,1513.0,47.58,4.0,41.3,4.7,4.5,Cash
Auto,755.0,31.75,5.7,43.7,4.6,4.5,Cash
Auto,651.0,34.64,7.9,15.9,3.4,4.2,Credit Card
Premier Sedan,522.0,29.42,2.9,16.8,4.2,4.3,Debit Card
Auto,480.0,5.76,2.5,18.3,4.2,4.6,Debit Card
Premier Sedan,515.0,33.42,10.6,18.9,4.8,4.6,Uber Wallet
Bike,751.0,33.82,9.9,23.2,4.9,4.8,Cash
Bike,256.0,43.39,9.4,16.0,4.3,4.8,Cash
eBike,682.0,23.53,12.0,39.4,4.3,4.2,UPI
Bike,655.0,35.84,11.1,16.0,4.2,4.4,Credit Card
Go Sedan,253.0,43.08,12.6,18.1,4.7,4.2,Cash
Go Sedan,402.0,13.89,12.7,43.5,4.6,5.0,Credit Card
Premier Sedan,206.0,12.69,10.0,24.1,4.6,5.0,Debit Card
Bike,83.0,31.56,4.7,30.3,4.9,4.9,UPI
Premier Sedan,689.0,22.02,13.0,19.0,4.2,4.3,Cash
Go Mini,81.0,3.44,4.9,36.8,4.5,3.1,UPI
eBike,276.0,25.15,12.1,35.0,4.7,4.9,UPI
Premier Sedan,726.0,14.56,9.9,29.8,3.6,4.0,Cash
Auto,992.0,23.19,10.5,34.4,3.8,5.0,Uber Wallet
Go Mini,269.0,44.85,5.7,42.9,4.3,4.7,Uber Wallet
Premier Sedan,395.0,32.69,12.6,35.2,3.7,4.6,UPI
Go Mini,257.0,5.65,3.8,39.2,4.1,4.7,UPI
Bike,2804.0,29.52,6.8,36.2,4.3,4.6,UPI
Bike,194.0,31.98,14.1,38.4,4.5,4.3,UPI
Go Sedan,990.0,35.42,12.7,31.2,4.1,4.9,UPI
Auto,189.0,49.08,6.3,38.6,4.6,4.6,Credit Card
Auto,484.0,43.48,3.3,27.7,4.2,4.2,UPI
Go Sedan,289.0,16.01,10.3,34.7,4.6,4.2,Credit Card
Bike,820.0,42.9,4.6,33.9,4.1,4.2,Uber Wallet
Bike,188.0,3.91,8.8,44.9,4.2,4.2,Cash
Auto,578.0,42.27,8.0,39.0,4.6,4.5,UPI
Bike,1466.0,33.91,9.6,29.1,4.8,4.9,UPI
Bike,461.0,22.2,13.0,21.1,4.3,4.5,UPI
Premier Sedan,161.0,6.88,8.5,23.2,3.6,5.0,Cash
Premier Sedan,982.0,14.31,11.5,28.9,4.6,4.5,UPI
Go Mini,51.0,47.03,10.3,30.8,4.2,4.5,Credit Card
Auto,316.0,21.64,7.7,21.1,4.1,4.9,Credit Card
Go Sedan,493.0,17.36,14.9,37.6,4.3,4.1,Uber Wallet
Go Mini,207.0,35.65,7.8,33.6,3.9,4.2,Cash
Auto,745.0,24.78,8.5,17.7,4.2,4.1,UPI
Auto,165.0,16.31,6.1,37.3,4.2,4.8,UPI
Go Mini,392.0,36.43,2.0,23.0,4.3,4.4,Credit Card
Go Sedan,796.0,44.28,6.9,19.5,4.1,3.9,Uber Wallet
Auto,2401.0,48.03,10.0,16.8,3.6,4.6,Credit Card
Auto,483.0,5.68,11.3,17.0,4.2,4.9,UPI
Bike,109.0,41.71,2.2,31.3,4.1,4.2,Credit Card
Auto,88.0,22.94,6.0,40.9,4.5,4.8,Uber Wallet
Go Sedan,799.0,28.66,2.1,34.7,4.6,4.9,Credit Card
Bike,908.0,28.4,12.5,17.0,4.3,4.4,UPI
Go Sedan,682.0,3.05,4.2,18.9,4.7,4.3,UPI
Go Sedan,1166.0,2.63,13.9,24.0,4.2,4.4,Cash
Bike,979.0,10.26,4.1,16.3,4.6,4.4,UPI
Go Sedan,845.0,5.5,6.1,43.3,4.9,4.5,Cash
Auto,819.0,5.02,6.5,37.8,3.7,4.2,UPI
Bike,204.0,41.59,11.6,30.2,4.3,4.1,Cash
Auto,572.0,8.09,14.4,17.3,3.1,4.6,Uber Wallet
Premier Sedan,714.0,6.78,5.7,21.2,3.5,4.3,UPI
Auto,565.0,24.5,12.0,19.5,4.6,4.9,Uber Wallet
Auto,201.0,8.97,5.2,32.7,4.7,4.8,Credit Card
Auto,184.0,39.25,2.5,20.5,4.2,4.1,UPI
Go Sedan,170.0,6.17,10.0,42.0,4.2,4.5,Cash
Go Sedan,208.0,46.27,8.5,32.8,4.4,4.1,UPI
Bike,1263.0,36.66,3.2,31.8,4.3,4.9,UPI
eBike,159.0,38.13,12.2,40.7,4.5,3.7,Debit Card
Auto,938.0,8.86,2.0,20.1,3.4,3.3,UPI
Uber XL,499.0,15.06,6.1,24.3,3.9,4.6,Cash
Go Sedan,219.0,19.12,4.5,34.2,3.4,4.2,Cash
Go Mini,1559.0,13.07,14.1,25.6,4.1,4.6,Cash
Go Mini,450.0,7.65,13.4,17.1,4.2,4.5,UPI
Auto,106.0,40.34,9.3,42.2,5.0,3.0,UPI
Premier Sedan,644.0,27.83,8.9,32.8,5.0,4.8,Debit Card
Go Mini,325.0,26.87,8.3,20.6,4.8,4.6,UPI
Go Sedan,840.0,13.96,15.0,25.1,4.2,4.3,UPI
Auto,867.0,41.26,13.0,28.0,4.4,4.7,Cash
Bike,425.0,12.58,12.9,15.5,4.3,4.9,UPI
Go Sedan,1071.0,41.68,7.2,32.2,4.5,4.1,Credit Card
Uber XL,414.0,12.73,14.9,20.6,4.2,4.2,Cash
Premier Sedan,587.0,45.74,6.4,16.8,4.1,4.7,UPI
Go Sedan,275.0,9.74,7.9,32.0,4.2,4.2,UPI
Go Sedan,296.0,5.78,6.9,43.4,4.3,4.8,UPI
Uber XL,235.0,16.97,14.8,27.3,4.5,3.2,Debit Card
Bike,310.0,26.31,2.7,32.5,3.0,4.8,UPI
Auto,829.0,32.68,13.9,44.6,4.2,4.2,UPI
Uber XL,164.0,20.39,8.9,15.2,4.6,4.2,UPI
Bike,856.0,41.68,13.6,25.0,4.6,4.2,UPI
Bike,198.0,31.87,14.4,33.9,4.3,4.4,UPI
Go Sedan,341.0,45.58,10.0,21.5,4.3,4.3,Uber Wallet
Go Sedan,56.0,24.88,6.5,43.4,4.2,4.9,UPI
Auto,189.0,3.67,13.8,24.2,4.3,3.1,Cash
Premier Sedan,349.0,40.67,4.5,19.4,3.4,4.6,UPI
Go Mini,451.0,29.69,3.9,32.9,3.8,4.6,UPI
eBike,363.0,24.05,12.5,37.8,3.4,4.9,UPI
Bike,146.0,47.32,3.1,18.5,4.6,4.9,UPI
Go Sedan,347.0,45.06,6.0,34.7,4.2,4.7,UPI
Auto,729.0,25.72,4.7,19.1,4.3,4.2,UPI
Bike,253.0,24.47,6.7,17.8,4.2,4.1,UPI
Auto,152.0,38.28,5.1,40.4,4.4,4.2,Credit Card
Bike,232.0,24.96,12.1,39.6,4.4,4.6,UPI
Go Sedan,382.0,40.6,3.5,40.2,3.7,4.2,Credit Card
Auto,581.0,15.95,5.2,43.5,4.3,4.3,Uber Wallet
eBike,734.0,45.52,4.5,16.6,4.4,4.9,Uber Wallet
Auto,754.0,39.1,11.4,31.5,4.3,4.9,Credit Card
Go Sedan,92.0,13.17,3.3,28.0,4.3,4.3,Credit Card
Bike,149.0,37.17,4.8,36.5,3.9,4.6,UPI
Go Sedan,2368.0,3.54,9.9,40.4,4.2,4.3,UPI
Go Sedan,305.0,7.49,2.5,21.1,3.4,4.3,UPI
Auto,315.0,31.95,4.3,34.1,4.2,3.9,Uber Wallet
Uber XL,421.0,9.62,14.8,29.0,3.7,4.6,UPI
Bike,1117.0,33.43,3.7,42.1,4.2,5.0,Uber Wallet
eBike,419.0,16.12,11.0,38.5,3.5,4.3,Credit Card
Auto,643.0,30.72,11.8,17.3,4.2,4.9,Credit Card
Go Mini,2602.0,36.13,9.6,42.3,4.2,4.9,Credit Card
Auto,142.0,37.09,3.7,35.8,4.0,4.4,UPI
Go Sedan,616.0,21.58,4.8,15.2,4.3,4.4,UPI
Premier Sedan,418.0,38.33,13.9,24.6,3.9,4.8,Debit Card
Bike,1450.0,21.84,13.9,20.6,4.0,4.1,Credit Card
Go Sedan,1933.0,23.6,12.2,40.3,4.8,3.8,Debit Card
Premier Sedan,430.0,48.16,13.9,40.2,4.6,4.9,Cash
Go Mini,427.0,6.83,7.6,40.1,4.6,4.9,UPI
eBike,602.0,24.39,7.0,29.3,4.4,4.2,UPI
Auto,264.0,23.57,13.7,43.9,4.3,5.0,UPI
Go Sedan,131.0,12.08,7.3,24.7,3.7,4.8,Credit Card
Auto,949.0,34.47,10.1,23.1,4.0,4.5,UPI
Bike,137.0,47.62,6.6,33.4,4.8,3.9,UPI
Go Sedan,472.0,35.94,11.9,19.6,3.8,4.4,Credit Card
Premier Sedan,251.0,32.56,6.0,18.0,4.6,4.3,Credit Card
Auto,416.0,5.47,3.4,41.8,4.3,3.9,UPI
Auto,524.0,6.18,12.2,44.6,4.1,4.7,Uber Wallet
Bike,428.0,42.96,6.2,29.6,3.4,4.7,Cash
eBike,890.0,10.8,8.3,17.1,3.3,4.9,Cash
Go Sedan,404.0,2.5,6.6,38.7,4.3,4.4,Uber Wallet
Bike,402.0,48.28,11.2,18.3,3.1,4.3,UPI
Auto,253.0,3.47,10.3,27.1,3.4,4.3,UPI
Go Mini,789.0,37.04,14.8,15.4,4.4,4.9,Debit Card
Go Mini,419.0,21.9,11.7,36.4,4.2,3.7,Cash
Premier Sedan,156.0,11.77,5.6,22.7,4.1,4.5,UPI
Auto,3141.0,18.93,9.6,16.5,3.7,4.2,Uber Wallet
Go Sedan,453.0,21.61,11.6,39.3,4.3,4.6,UPI
Auto,741.0,11.03,8.4,42.2,3.9,4.2,Cash
Go Sedan,157.0,31.64,4.0,30.6,4.2,4.6,UPI
Go Mini,239.0,45.52,11.7,29.8,4.3,4.9,Cash
eBike,309.0,45.95,6.6,36.1,3.2,4.2,UPI
Bike,80.0,7.32,13.7,25.3,4.2,4.3,Credit Card
Bike,887.0,18.87,2.3,37.6,4.2,4.1,UPI
Auto,524.0,4.14,14.1,24.0,3.9,4.2,UPI
Go Sedan,373.0,36.32,12.3,39.1,3.8,4.6,Cash
eBike,249.0,32.02,4.9,37.5,4.2,4.2,Credit Card
Go Sedan,459.0,12.29,9.6,31.4,4.2,4.7,UPI
Auto,878.0,22.45,13.9,44.3,4.2,3.2,Cash
Auto,474.0,17.27,8.5,34.7,4.3,4.1,Debit Card
Go Mini,160.0,46.96,9.3,24.6,4.8,4.2,UPI
Auto,411.0,43.86,7.1,39.6,5.0,4.8,UPI
Go Sedan,253.0,15.34,13.7,16.0,3.8,4.9,UPI
Auto,941.0,40.89,14.7,43.2,4.2,5.0,Credit Card
Uber XL,709.0,11.4,11.9,24.5,4.2,3.2,Cash
Go Mini,78.0,4.14,11.9,30.1,3.6,4.3,UPI
Bike,470.0,47.06,3.4,36.9,4.2,4.5,Uber Wallet
Auto,390.0,45.63,13.2,22.5,4.3,4.8,Debit Card
Auto,199.0,16.23,7.8,44.1,4.2,3.7,Cash
Bike,319.0,47.98,10.1,29.1,4.2,3.8,Cash
Premier Sedan,565.0,9.02,6.0,19.6,4.2,4.3,Cash
Go Sedan,108.0,37.67,2.8,19.5,4.2,4.4,Cash
Go Mini,391.0,32.77,5.4,35.4,4.3,4.8,UPI
Auto,1412.0,39.26,14.5,36.3,3.1,4.7,Debit Card
Auto,1232.0,11.38,7.5,15.5,4.4,4.4,UPI
Uber XL,902.0,10.05,3.1,22.7,4.5,4.1,Cash
Go Mini,76.0,21.79,3.2,20.1,4.7,3.6,Uber Wallet
Go Sedan,133.0,29.5,5.4,41.2,4.9,4.3,Cash
